id,title,description,availability,condition,price,link,image_link,brand,product_type,quantity_to_sell_on_facebook
1476015194,Boyero eléctrico PY120 · 120 km · 220 V · 4 J,"Boyero eléctrico PY120 · 120 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su pl...",in stock,new,370585.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py120/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/d3a2b4f14fc185ad.jpg,Plyrap,,5
1476015166,"Boyero eléctrico PY20 · 20 km · 220 V · 0,7 J","Boyero eléctrico PY20 · 20 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su plan...",in stock,new,205139.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py20/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/eec09eb5b1ebdb48.jpg,Plyrap,,5
1476015200,Boyero eléctrico PY200 · 200 km · 220 V · 7 J,"Boyero eléctrico PY200 · 200 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su pl...",in stock,new,472295.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py200/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/988c7ef5aa508aa8.jpg,Plyrap,,5
1476015171,"Boyero eléctrico PY40 · 40 km · 220 V · 1,4 J","Boyero eléctrico PY40 · 40 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su plan...",in stock,new,237904.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py40/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/7146fdcb0944cede.jpg,Plyrap,,5
1476015205,Boyero eléctrico PY400 · 400 km · 220 V · 10 J,"Boyero eléctrico PY400 · 400 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su pl...",in stock,new,678241.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py400/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/d846c2306532505c.jpg,Plyrap,,2
1476015162,Boyero eléctrico PY5 · 5 km · 220 V,"Boyero eléctrico PY5 · 5 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su planta...",in stock,new,108586.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py5/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/979b7b2eff4cadad.jpg,Plyrap,,10
1476015181,"Boyero eléctrico PY70 · 70 km · 220 V · 2,8 J","Boyero eléctrico PY70 · 70 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su plan...",in stock,new,278586.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py70/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/98e6946b5c306ab4.jpg,Plyrap,,5
1476015208,Boyero eléctrico PY800 · 800 km · 220 V · 15 J,"Boyero eléctrico PY800 · 800 km de alambrado, fabricado en Venado Tuerto 12 meses de garantía de fábrica. Diseñado, matrizado y producido por Plyrap en su pl...",in stock,new,752925.00 ARS,https://tienda.plyrap.com.ar/productos/boyero-electrico-py800/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/5666175db6b07476.jpg,Plyrap,,3
1476015146,Carretel plástico vacío,"Carretel plástico vacío Carretel para Hilo Electroplástico El carretel para hilo electroplástico está diseñado para facilitar el enrollado, transporte y mane...",in stock,new,33103.00 ARS,https://tienda.plyrap.com.ar/productos/carretel-plastico-vacio/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/0c007f3e25a69d2d.jpg,Plyrap,,
1476015111,Destetador para ternero x 20 unidades,Destetador para ternero x 20 unidades El destetador para cría de terneros es una herramienta esencial para la identificación y el manejo de terneros. Está fa...,in stock,new,18080.00 ARS,https://tienda.plyrap.com.ar/productos/destetador-para-ternero-x-20-unidades/,https://scalelabs-ar.github.io/plyrap-catalogo-img/img/d76d53823d1f3161.jpg,Plyrap,,54
